App,Field,Type,Override,Tracking
*apps.MetricsReceiverVault,confgenerator.MetricsReceiverSharedTLS.Insecure,*bool,,true
*apps.MetricsReceiverVault,confgenerator.MetricsReceiverSharedTLS.InsecureSkipVerify,*bool,,true
*apps.MetricsReceiverVault,confgenerator.MetricsReceiverSharedTLS.KeyFile,string,,false
*apps.MetricsReceiverWildfly,confgenerator.ConfigComponent.Type,string,,true
*apps.MetricsReceiverWildfly,confgenerator.MetricsReceiverSharedJVM.AdditionalJars,[]string,,false
*apps.MetricsReceiverWildfly,confgenerator.MetricsReceiverSharedJVM.Endpoint,string,,false
*apps.MetricsReceiverWildfly,confgenerator.MetricsReceiverSharedJVM.Password,string,,false
*apps.MetricsReceiverWildfly,confgenerator.MetricsReceiverSharedJVM.Username,string,,false
*apps.MetricsReceiverWildfly,confgenerator.MetricsReceiverSharedJVM.confgenerator.MetricsReceiverShared.CollectionInterval,string,,false
*apps.MetricsReceiverZookeeper,Endpoint,string,,false
*apps.MetricsReceiverZookeeper,confgenerator.ConfigComponent.Type,string,,true
*apps.MetricsReceiverZookeeper,confgenerator.MetricsReceiverShared.CollectionInterval,string,,false
*apps.SystemLoggingReceiverHbase,apps.LoggingProcessorHbaseSystem.confgenerator.ConfigComponent.Type,string,,true
*apps.SystemLoggingReceiverHbase,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.SystemLoggingReceiverHbase,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.SystemLoggingReceiverHbase,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.SystemLoggingReceiverHbase,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.SystemLoggingReceiverHbase,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
*apps.SystemLoggingReceiverHbase,confgenerator.LoggingReceiverFilesMixin.WildcardRefreshInterval,*time.Duration,,true
*apps.SystemLoggingReceiverTomcat,apps.LoggingProcessorTomcatSystem.confgenerator.ConfigComponent.Type,string,,true
*apps.SystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.SystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.SystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.SystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.SystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
*apps.SystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.WildcardRefreshInterval,*time.Duration,,true
*confgenerator.LoggingProcessorExcludeLogs,MatchAny,[]string,,false
*confgenerator.LoggingProcessorExcludeLogs,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingProcessorModifyFields,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingProcessorParseJson,Field,string,,false
*confgenerator.LoggingProcessorParseJson,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingProcessorParseJson,confgenerator.ParserShared.TimeFormat,string,,false
*confgenerator.LoggingProcessorParseJson,confgenerator.ParserShared.TimeKey,string,,false
*confgenerator.LoggingProcessorParseRegex,Field,string,,false
*confgenerator.LoggingProcessorParseRegex,Regex,string,,false
*confgenerator.LoggingProcessorParseRegex,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingProcessorParseRegex,confgenerator.ParserShared.TimeFormat,string,,false
*confgenerator.LoggingProcessorParseRegex,confgenerator.ParserShared.TimeKey,string,,false
*confgenerator.LoggingReceiverFiles,ExcludePaths,[]string,,false
*confgenerator.LoggingReceiverFiles,IncludePaths,[]string,,false
*confgenerator.LoggingReceiverFiles,RecordLogFilePath,*bool,,true
*confgenerator.LoggingReceiverFiles,WildcardRefreshInterval,*time.Duration,,true
*confgenerator.LoggingReceiverFiles,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingReceiverFluentForward,ListenHost,string,,false
*confgenerator.LoggingReceiverFluentForward,ListenPort,uint16,,true
*confgenerator.LoggingReceiverFluentForward,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingReceiverSyslog,ListenHost,string,,false
*confgenerator.LoggingReceiverSyslog,ListenPort,uint16,,true
*confgenerator.LoggingReceiverSyslog,TransportProtocol,string,,false
*confgenerator.LoggingReceiverSyslog,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingReceiverSystemd,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingReceiverTCP,Format,string,,false
*confgenerator.LoggingReceiverTCP,ListenHost,string,,false
*confgenerator.LoggingReceiverTCP,ListenPort,uint16,,true
*confgenerator.LoggingReceiverTCP,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.LoggingReceiverWindowsEventLog,Channels,[]string,,false
*confgenerator.LoggingReceiverWindowsEventLog,confgenerator.ConfigComponent.Type,string,,true
*confgenerator.ParseMultiline,MultilineGroups,[]*confgenerator.ParseMultilineGroup,,false
*confgenerator.ParseMultiline,confgenerator.ConfigComponent.Type,string,,true
